Accion;alpha;beta;omega
ALUA;6,36448E-07;4,29788E-65;7,45907E-07
BBAR;;0;0,00197408
BMA;3,97972E-05;0;1,59939E-11
BYMA;1,49664E-10;0;4,49107E-18
CEPU;1,38771E-05;0;4,20986E-12
COME;1,00469E-06;0;3,51198E-18
CRES;1,08552E-07;3,4639E-104;9,02495E-07
EDN;0,027413321;0;7,68442E-30
GGAL;7,9754E-06;0;2,60816E-15
IRSA;0,000104882;0;1,80755E-41
LOMA;;5,526E-190;2,37465E-07
METR;2,57242E-05;0;0
PAMP;0,00966331;0;0
SUPV;1,13669E-09;1,5525E-158;0,000231989
TECO2;1,15756E-06;0;1,31833E-32
TGNO4;0,002448393;0;9,76233E-19
TGSU2;0,001222653;0;2,68089E-18
TRAN;0,000206412;0;1,42357E-28
TXAR;0,003109296;0;1,63003E-54
VALO;2,88144E-06;0;0
YPFD;3,59406E-07;0;7,18413E-15
